@relation text_classification

@attribute 之 real
@attribute 其 real
@attribute 或 real
@attribute 亦 real
@attribute 方 real
@attribute 于 real
@attribute 即 real
@attribute 皆 real
@attribute 因 real
@attribute 仍 real
@attribute 故 real
@attribute 尚 real
@attribute 呢 real
@attribute 了 real
@attribute 的 real
@attribute 着 real
@attribute 一 real
@attribute 不 real
@attribute 乃 real
@attribute 呀 real
@attribute 吗 real
@attribute 咧 real
@attribute 啊 real
@attribute 把 real
@attribute 让 real
@attribute 向 real
@attribute 往 real
@attribute 是 real
@attribute 在 real
@attribute 越 real
@attribute 再 real
@attribute 更 real
@attribute 比 real
@attribute 很 real
@attribute 偏 real
@attribute 别 real
@attribute 好 real
@attribute 可 real
@attribute 便 real
@attribute 就 real
@attribute 但 real
@attribute 儿 real
@attribute 又 real
@attribute 也 real
@attribute 都 real
@attribute 要 real
@attribute 这 real
@attribute 那 real
@attribute 你 real
@attribute 我 real
@attribute 他 real
@attribute 来 real
@attribute 去 real
@attribute 道 real
@attribute 说 real
@attribute classification {0,1,2}

@data
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001759,0.000000,0.000000,0.000000,0.005529,0.042724,0.034179,0.009047,0.011309,0.007540,0.000000,0.000000,0.000000,0.000000,0.000251,0.005026,0.000754,0.000754,0.001759,0.009047,0.007037,0.000503,0.002262,0.000503,0.000503,0.001005,0.000251,0.000251,0.006032,0.001508,0.004524,0.003267,0.001257,0.005278,0.008545,0.012817,0.004775,0.005278,0.005529,0.001759,0.015582,0.018095,0.012566,0.007037,0.006534,0.012315,0.009299,1
0.000652,0.000652,0.000217,0.000217,0.000217,0.000217,0.000217,0.000217,0.004782,0.000869,0.000000,0.000000,0.005651,0.040426,0.030428,0.010215,0.006520,0.006086,0.000000,0.000000,0.000652,0.000435,0.000217,0.001956,0.000869,0.001739,0.001304,0.012606,0.003478,0.000000,0.001521,0.000652,0.000217,0.000435,0.000869,0.001304,0.003260,0.000652,0.004130,0.003043,0.000217,0.005651,0.008259,0.010650,0.003260,0.002825,0.004564,0.003043,0.011085,0.012823,0.009128,0.007607,0.008911,0.016083,0.012389,1
0.000435,0.000000,0.000000,0.000000,0.000218,0.000000,0.000218,0.000218,0.002830,0.000435,0.000000,0.000218,0.008056,0.046593,0.023079,0.011975,0.011104,0.006532,0.000000,0.000000,0.000218,0.000218,0.000000,0.002395,0.000653,0.000435,0.001742,0.011322,0.006749,0.000653,0.002395,0.000218,0.000435,0.000218,0.000000,0.001306,0.004354,0.000653,0.005443,0.004790,0.000218,0.006314,0.008273,0.010233,0.005225,0.002613,0.005879,0.003484,0.010233,0.009362,0.011975,0.008709,0.010668,0.013281,0.012192,1
0.002912,0.000265,0.000000,0.000265,0.000794,0.000000,0.000265,0.000000,0.002912,0.000265,0.000265,0.000000,0.005295,0.038920,0.027800,0.005560,0.012973,0.006619,0.000000,0.000265,0.000530,0.000000,0.000265,0.003707,0.000000,0.000530,0.000794,0.010855,0.009002,0.000000,0.001059,0.000794,0.000530,0.000794,0.000000,0.000265,0.002118,0.002118,0.005295,0.003442,0.000530,0.005560,0.009002,0.011120,0.004501,0.003707,0.005825,0.004501,0.007413,0.010855,0.005825,0.008472,0.005560,0.016945,0.007413,1
0.000887,0.000296,0.000000,0.000000,0.000000,0.000000,0.000296,0.000000,0.002955,0.000000,0.000000,0.000000,0.002955,0.041962,0.024527,0.010047,0.012707,0.010638,0.000000,0.000296,0.000296,0.000000,0.000296,0.002660,0.000591,0.000887,0.001773,0.008274,0.005024,0.000000,0.001773,0.000296,0.000000,0.000887,0.000000,0.001773,0.002660,0.000296,0.004137,0.004137,0.000296,0.006797,0.009456,0.014480,0.002955,0.002955,0.006206,0.003251,0.009752,0.013298,0.006501,0.007683,0.005910,0.018913,0.007979,1
0.001644,0.000000,0.000000,0.000329,0.000000,0.000000,0.000000,0.000000,0.002630,0.000986,0.000000,0.000000,0.001315,0.041091,0.018738,0.004931,0.008218,0.010519,0.000000,0.000000,0.000000,0.000657,0.000000,0.004931,0.000329,0.000329,0.002301,0.009533,0.004274,0.000329,0.000657,0.000986,0.000329,0.000657,0.000329,0.001644,0.003616,0.000986,0.006575,0.003287,0.000329,0.001315,0.009862,0.014464,0.001972,0.004602,0.005260,0.000986,0.013149,0.015450,0.018080,0.008876,0.008218,0.015122,0.005588,1
0.000274,0.000000,0.000000,0.000000,0.000000,0.000547,0.000547,0.000000,0.002462,0.000274,0.000274,0.000274,0.002735,0.038840,0.037473,0.008479,0.011761,0.011214,0.000000,0.000000,0.000000,0.000000,0.000000,0.002735,0.000274,0.000821,0.000547,0.014223,0.004923,0.000000,0.001094,0.001915,0.000000,0.000000,0.000000,0.000547,0.003556,0.000000,0.007932,0.003009,0.000821,0.007932,0.004376,0.011761,0.004103,0.003282,0.002735,0.001368,0.009026,0.009026,0.011214,0.007112,0.012035,0.013403,0.011214,1
0.001346,0.000000,0.000000,0.000269,0.000539,0.000000,0.000539,0.000000,0.001885,0.000539,0.000000,0.000000,0.003500,0.031772,0.030425,0.005116,0.005654,0.009962,0.000000,0.000269,0.000269,0.000000,0.000269,0.002154,0.000000,0.000000,0.000539,0.010232,0.005924,0.000000,0.000539,0.001346,0.000539,0.000539,0.000000,0.000269,0.002154,0.000808,0.011847,0.002693,0.000539,0.002962,0.007539,0.014001,0.002962,0.002423,0.006731,0.001885,0.007539,0.013732,0.015886,0.006731,0.009693,0.007808,0.012116,1
0.001601,0.000000,0.000000,0.000000,0.000356,0.000000,0.000711,0.000000,0.003202,0.000534,0.000178,0.000178,0.006226,0.043223,0.031306,0.007649,0.009427,0.009427,0.000000,0.000000,0.001067,0.000000,0.000000,0.002490,0.000000,0.000356,0.000711,0.011562,0.005692,0.000356,0.000711,0.000889,0.000356,0.000534,0.000000,0.000534,0.002846,0.000534,0.007293,0.004091,0.000711,0.004091,0.011740,0.011384,0.004447,0.003557,0.007293,0.003380,0.008182,0.010672,0.016542,0.007649,0.007293,0.010494,0.011028,1
0.002011,0.000000,0.000000,0.000287,0.000287,0.000000,0.001149,0.000000,0.004023,0.000000,0.000000,0.000575,0.002874,0.031897,0.030460,0.007759,0.009195,0.009483,0.000000,0.000000,0.001149,0.000000,0.000575,0.001149,0.000000,0.000575,0.000575,0.010920,0.007471,0.000000,0.001437,0.000287,0.001149,0.000287,0.000575,0.000862,0.004598,0.000862,0.006609,0.003736,0.000000,0.008333,0.004885,0.013506,0.004310,0.004598,0.004598,0.001724,0.010345,0.010632,0.005460,0.004023,0.005460,0.009195,0.013506,1
